Predicted
0.999
0.655
0.999
0.921
0.999
0.999
0.802
0.999
0.535
0.999
0.865
0.767
16.422
0.999
14.288
0.743
16.193
0.632
14.267
16.331
0.860
0.717
0.999
0.740
16.414
0.975
0.982
0.999
14.254
16.209
0.975
0.953
0.818
0.821
0.349
0.921
0.838
0.997
0.989
0.305
0.999
0.999
0.999
0.999
2.430
0.254
0.999
