Predicted
0.999
0.999
0.999
0.999
0.999
0.1000
0.999
0.999
4.999
0.999
1.939
0.999
0.999
0.999
0.999
0.999
0.999
0.994
0.1000
0.997
0.1000
0.999
0.1000
0.999
0.999
0.999
0.999
0.999
0.999
16.999
0.999
0.990
0.1000
3.999
0.999
0.999
0.984
0.999
0.999
0.997
0.1000
0.999
0.1000
0.999
0.999
0.993
0.1000
0.999
0.623
0.999
4.999
0.999
0.1000
1.824
13.979
0.1000
0.999
0.999
0.999
4.997
0.999
0.999
0.999
0.999
0.999
0.999
0.937
0.996
0.999
0.992
0.1000
0.999
0.999
0.999
0.1000
0.999
0.1000
0.999
13.998
0.999
0.1000
0.999
0.999
0.691
0.1000
0.999
0.999
3.572
0.999
4.999
4.999
1.981
0.992
0.962
0.807
4.986
0.999
0.1000
4.999
3.873
0.999
13.999
0.1000
0.1000
0.934
0.1000
0.1000
0.999
0.1000
0.1000
1.986
0.999
4.999
0.999
0.997
0.999
0.1000
0.999
0.999
0.999
0.999
0.999
0.1000
0.999
4.986
3.822
0.999
0.999
0.988
0.989
13.999
0.989
0.1000
3.844
0.999
16.999
0.999
0.999
0.1000
0.999
0.999
0.991
0.999
0.999
0.999
3.610
0.1000
0.999
0.946
0.999
0.999
0.999
13.955
0.999
0.1000
0.984
0.999
0.1000
0.999
0.999
4.999
0.1000
4.999
0.999
0.999
0.1000
0.999
0.999
0.999
0.999
0.607
0.999
0.999
16.999
0.999
0.999
0.999
1.994
0.999
0.999
0.999
0.999
0.999
0.1000
0.1000
0.999
0.999
0.999
0.1000
0.1000
0.999
0.999
0.999
0.900
3.996
0.818
0.999
4.509
4.991
0.1000
0.999
0.960
0.1000
4.999
4.999
3.990
0.999
0.934
0.999
0.999
0.1000
0.984
0.999
0.999
16.802
3.958
0.999
0.999
0.1000
0.891
0.999
4.999
0.999
0.999
0.999
4.997
0.999
0.1000
0.999
0.1000
0.999
0.999
0.999
0.999
3.910
0.1000
0.999
0.999
0.999
0.999
0.1000
1.995
0.1000
0.996
0.999
0.999
0.957
4.999
4.756
0.1000
3.873
6.785
1.835
3.852
16.999
0.1000
0.999
0.999
13.999
0.999
0.993
0.1000
0.999
6.489
0.1000
0.999
0.999
0.1000
0.999
0.1000
0.1000
0.999
0.999
0.999
0.994
0.986
0.995
0.999
0.999
0.999
0.999
0.968
0.999
0.1000
0.866
0.1000
0.999
0.741
0.999
0.999
0.999
0.1000
0.1000
0.1000
1.938
0.999
0.999
4.991
0.999
0.999
0.999
4.676
3.999
0.1000
0.999
4.999
4.676
3.949
0.1000
0.999
0.1000
0.999
4.999
0.993
0.1000
0.999
0.989
0.999
0.999
0.1000
0.999
0.778
1.982
0.978
3.451
13.821
0.1000
0.999
0.999
0.999
4.818
0.998
0.999
0.999
0.999
0.994
0.996
0.986
0.1000
0.999
0.999
0.999
0.1000
0.1000
4.999
0.1000
0.999
4.648
4.991
0.999
4.997
16.1000
0.988
0.995
0.695
0.999
0.1000
0.997
0.764
1.554
0.801
0.999
0.999
0.999
0.999
0.999
0.999
3.805
0.999
4.999
0.999
0.999
0.999
0.999
0.999
0.999
0.1000
0.999
0.1000
0.999
0.999
3.995
0.992
0.952
0.983
0.999
0.999
0.999
0.999
0.999
0.1000
0.999
4.999
0.999
0.1000
0.998
0.999
0.999
0.999
0.999
4.999
0.999
4.991
0.1000
0.999
0.999
0.999
0.999
0.992
0.995
0.999
0.999
0.999
0.999
0.999
0.999
1.917
0.999
0.1000
0.1000
0.999
0.1000
0.998
0.999
0.999
0.999
0.999
0.996
0.999
0.1000
0.999
0.999
0.999
0.999
0.618
0.999
0.999
4.975
0.999
4.996
0.1000
4.999
4.979
0.999
0.999
0.1000
0.999
0.1000
0.999
4.999
0.999
0.999
0.1000
0.999
0.1000
0.1000
0.885
0.998
0.995
0.999
13.999
16.1000
0.1000
0.1000
0.942
0.999
0.1000
0.998
0.999
0.999
0.999
0.999
0.999
3.873
0.999
4.999
0.984
0.999
0.1000
0.999
0.999
0.1000
0.999
0.999
16.999
3.835
0.942
0.991
0.999
0.999
0.999
0.999
0.1000
0.999
0.998
0.999
0.999
0.1000
1.908
